"Episode","Length","Reward","IMG","LOG","SAL"
"6299","50.0","5.2300000000000004","./frames/image6299.gif","./frames/log6299.csv","./frames/sal6299.gif"
"6399","50.0","4.9500000000000002","./frames/image6399.gif","./frames/log6399.csv","./frames/sal6399.gif"
"6499","50.0","5.1699999999999999","./frames/image6499.gif","./frames/log6499.csv","./frames/sal6499.gif"
"6599","50.0","4.3499999999999996","./frames/image6599.gif","./frames/log6599.csv","./frames/sal6599.gif"
"6699","50.0","4.3300000000000001","./frames/image6699.gif","./frames/log6699.csv","./frames/sal6699.gif"
"6799","50.0","5.71","./frames/image6799.gif","./frames/log6799.csv","./frames/sal6799.gif"
"6899","50.0","5.7000000000000002","./frames/image6899.gif","./frames/log6899.csv","./frames/sal6899.gif"
"6999","50.0","4.9699999999999998","./frames/image6999.gif","./frames/log6999.csv","./frames/sal6999.gif"
"7099","50.0","4.8799999999999999","./frames/image7099.gif","./frames/log7099.csv","./frames/sal7099.gif"
"7199","50.0","5.0899999999999999","./frames/image7199.gif","./frames/log7199.csv","./frames/sal7199.gif"
"7299","50.0","4.8200000000000003","./frames/image7299.gif","./frames/log7299.csv","./frames/sal7299.gif"
"7399","50.0","5.0999999999999996","./frames/image7399.gif","./frames/log7399.csv","./frames/sal7399.gif"
"7499","50.0","4.6299999999999999","./frames/image7499.gif","./frames/log7499.csv","./frames/sal7499.gif"
"7599","50.0","5.3899999999999997","./frames/image7599.gif","./frames/log7599.csv","./frames/sal7599.gif"
"7699","50.0","4.8399999999999999","./frames/image7699.gif","./frames/log7699.csv","./frames/sal7699.gif"
"7799","50.0","4.6500000000000004","./frames/image7799.gif","./frames/log7799.csv","./frames/sal7799.gif"
"7899","50.0","5.0599999999999996","./frames/image7899.gif","./frames/log7899.csv","./frames/sal7899.gif"
"7999","50.0","4.7800000000000002","./frames/image7999.gif","./frames/log7999.csv","./frames/sal7999.gif"
"8099","50.0","4.7999999999999998","./frames/image8099.gif","./frames/log8099.csv","./frames/sal8099.gif"
"8199","50.0","4.9100000000000001","./frames/image8199.gif","./frames/log8199.csv","./frames/sal8199.gif"
"8299","50.0","5.1100000000000003","./frames/image8299.gif","./frames/log8299.csv","./frames/sal8299.gif"
"8399","50.0","4.9000000000000004","./frames/image8399.gif","./frames/log8399.csv","./frames/sal8399.gif"
"8499","50.0","5.2800000000000002","./frames/image8499.gif","./frames/log8499.csv","./frames/sal8499.gif"
"8599","50.0","4.7000000000000002","./frames/image8599.gif","./frames/log8599.csv","./frames/sal8599.gif"
"8699","50.0","5.0199999999999996","./frames/image8699.gif","./frames/log8699.csv","./frames/sal8699.gif"
"8799","50.0","5.2300000000000004","./frames/image8799.gif","./frames/log8799.csv","./frames/sal8799.gif"
"8899","50.0","4.5800000000000001","./frames/image8899.gif","./frames/log8899.csv","./frames/sal8899.gif"
"8999","50.0","5.1500000000000004","./frames/image8999.gif","./frames/log8999.csv","./frames/sal8999.gif"
"9099","50.0","4.7699999999999996","./frames/image9099.gif","./frames/log9099.csv","./frames/sal9099.gif"
"9199","50.0","4.7199999999999998","./frames/image9199.gif","./frames/log9199.csv","./frames/sal9199.gif"
"9299","50.0","5.0999999999999996","./frames/image9299.gif","./frames/log9299.csv","./frames/sal9299.gif"
"9399","50.0","4.7000000000000002","./frames/image9399.gif","./frames/log9399.csv","./frames/sal9399.gif"
"9499","50.0","4.8600000000000003","./frames/image9499.gif","./frames/log9499.csv","./frames/sal9499.gif"
"9599","50.0","5.5199999999999996","./frames/image9599.gif","./frames/log9599.csv","./frames/sal9599.gif"
"9699","50.0","4.6399999999999997","./frames/image9699.gif","./frames/log9699.csv","./frames/sal9699.gif"
"9799","50.0","5.5300000000000002","./frames/image9799.gif","./frames/log9799.csv","./frames/sal9799.gif"
"9899","50.0","4.7000000000000002","./frames/image9899.gif","./frames/log9899.csv","./frames/sal9899.gif"
"9999","50.0","4.4500000000000002","./frames/image9999.gif","./frames/log9999.csv","./frames/sal9999.gif"
